-------------------- CONCURRENCE -----------------------
Requisitions: 1 | Time elapsed: 903 ms | 0.903 s
Requisitions: 1 | Time elapsed: 906 ms | 0.906 s
Requisitions: 1 | Time elapsed: 804 ms | 0.804 s
Requisitions: 1 | Time elapsed: 796 ms | 0.796 s
Requisitions: 1 | Time elapsed: 894 ms | 0.894 s
Requisitions: 1 | Time elapsed: 897 ms | 0.897 s
Requisitions: 1 | Time elapsed: 900 ms | 0.9 s
Requisitions: 1 | Time elapsed: 893 ms | 0.893 s
Requisitions: 1 | Time elapsed: 896 ms | 0.896 s
Requisitions: 1 | Time elapsed: 994 ms | 0.994 s
Requisitions: 1 | Time elapsed: 1106 ms | 1.106 s
Requisitions: 1 | Time elapsed: 900 ms | 0.9 s
Requisitions: 1 | Time elapsed: 1087 ms | 1.087 s
Requisitions: 1 | Time elapsed: 903 ms | 0.903 s
Requisitions: 1 | Time elapsed: 905 ms | 0.905 s
Requisitions: 1 | Time elapsed: 887 ms | 0.887 s
Requisitions: 1 | Time elapsed: 901 ms | 0.901 s
Requisitions: 1 | Time elapsed: 818 ms | 0.818 s
Requisitions: 1 | Time elapsed: 867 ms | 0.867 s
Requisitions: 1 | Time elapsed: 1110 ms | 1.11 s

Requisitions: 10 | Time elapsed: 1859 ms | 1.859 s
Requisitions: 10 | Time elapsed: 2600 ms | 2.6 s
Requisitions: 10 | Time elapsed: 2761 ms | 2.761 s
Requisitions: 10 | Time elapsed: 3568 ms | 3.568 s
Requisitions: 10 | Time elapsed: 3880 ms | 3.88 s
Requisitions: 10 | Time elapsed: 2824 ms | 2.824 s
Requisitions: 10 | Time elapsed: 3670 ms | 3.67 s
Requisitions: 10 | Time elapsed: 2318 ms | 2.318 s
Requisitions: 10 | Time elapsed: 2855 ms | 2.855 s
Requisitions: 10 | Time elapsed: 3039 ms | 3.039 s
Requisitions: 10 | Time elapsed: 2713 ms | 2.713 s
Requisitions: 10 | Time elapsed: 3810 ms | 3.81 s
Requisitions: 10 | Time elapsed: 3053 ms | 3.053 s
Requisitions: 10 | Time elapsed: 3268 ms | 3.268 s
Requisitions: 10 | Time elapsed: 4320 ms | 4.32 s
Requisitions: 10 | Time elapsed: 3549 ms | 3.549 s
Requisitions: 10 | Time elapsed: 2745 ms | 2.745 s
Requisitions: 10 | Time elapsed: 2654 ms | 2.654 s
Requisitions: 10 | Time elapsed: 3316 ms | 3.316 s
Requisitions: 10 | Time elapsed: 2092 ms | 2.092 s

Requisitions: 20 | Time elapsed: 3393 ms | 3.393 s
Requisitions: 20 | Time elapsed: 3104 ms | 3.104 s
Requisitions: 20 | Time elapsed: 7755 ms | 7.755 s
