-------------------- SEQUENTIAL -----------------------
Requisitions: 1 | Time elapsed: 992 ms | 0.992 s
Requisitions: 1 | Time elapsed: 800 ms | 0.8 s
Requisitions: 1 | Time elapsed: 897 ms | 0.897 s
Requisitions: 1 | Time elapsed: 993 ms | 0.993 s
Requisitions: 1 | Time elapsed: 1099 ms | 1.099 s
Requisitions: 1 | Time elapsed: 899 ms | 0.899 s
Requisitions: 1 | Time elapsed: 995 ms | 0.995 s
Requisitions: 1 | Time elapsed: 1090 ms | 1.09 s
Requisitions: 1 | Time elapsed: 1098 ms | 1.098 s
Requisitions: 1 | Time elapsed: 990 ms | 0.99 s
Requisitions: 1 | Time elapsed: 1007 ms | 1.007 s
Requisitions: 1 | Time elapsed: 1213 ms | 1.213 s
Requisitions: 1 | Time elapsed: 1183 ms | 1.183 s
Requisitions: 1 | Time elapsed: 891 ms | 0.891 s
Requisitions: 1 | Time elapsed: 990 ms | 0.99 s
Requisitions: 1 | Time elapsed: 894 ms | 0.894 s
Requisitions: 1 | Time elapsed: 793 ms | 0.793 s
Requisitions: 1 | Time elapsed: 891 ms | 0.891 s
Requisitions: 1 | Time elapsed: 813 ms | 0.813 s
Requisitions: 1 | Time elapsed: 863 ms | 0.863 s

Requisitions: 10 | Time elapsed: 5764 ms | 5.764 s
Requisitions: 10 | Time elapsed: 5587 ms | 5.587 s
Requisitions: 10 | Time elapsed: 6145 ms | 6.145 s
Requisitions: 10 | Time elapsed: 6302 ms | 6.302 s
Requisitions: 10 | Time elapsed: 5939 ms | 5.939 s
Requisitions: 10 | Time elapsed: 5697 ms | 5.697 s
Requisitions: 10 | Time elapsed: 5744 ms | 5.744 s
Requisitions: 10 | Time elapsed: 6451 ms | 6.451 s
Requisitions: 10 | Time elapsed: 5402 ms | 5.402 s
Requisitions: 10 | Time elapsed: 5627 ms | 5.627 s
Requisitions: 10 | Time elapsed: 5437 ms | 5.437 s
Requisitions: 10 | Time elapsed: 6108 ms | 6.108 s
Requisitions: 10 | Time elapsed: 6233 ms | 6.233 s
Requisitions: 10 | Time elapsed: 9913 ms | 9.913 s
Requisitions: 10 | Time elapsed: 5829 ms | 5.829 s
Requisitions: 10 | Time elapsed: 6513 ms | 6.513 s
Requisitions: 10 | Time elapsed: 5547 ms | 5.547 s
